,Cand,party,num,cand_status
85,Руденко Юлия Владимировна,Бүтүн Кыргызстан,49.0,True
86,Омельченко Клим Сергеевич,Бүтүн Кыргызстан,50.0,True
87,Алимбекова Бактыгуль Нурмаматовна,Жашылдар Партиясы,30.0,True
88,Миндиярова Екатерина Андреевна,Бүтүн Кыргызстан,51.0,True
89,Тротченко Надежда Владимировна,Бүтүн Кыргызстан,52.0,True
90,Масыева Салима Закирджановна,Бүтүн Кыргызстан,53.0,True
91,Айтбаев Акыл Казакович,Бүтүн Кыргызстан,54.0,True
92,Клименко Илья Петрович,Бүтүн Кыргызстан,22.0,True
93,Алибаева Айгерим Абдижалиловна,Бүтүн Кыргызстан,41.0,True
94,Довлотов Сейитбек,Бүтүн Кыргызстан,18.0,True
95,Абдумалик уулу Бекмамат,Бүтүн Кыргызстан,38.0,True
96,Готфрид Михаил Михайлович,Жашылдар Партиясы,14.0,True
97,Борубаев Медер Айбекович,Жашылдар Партиясы,29.0,True
98,Абдыраимова Мира Мидиновна,Жашылдар Партиясы,10.0,True
99,Бекбашева Чолпон Аскарбековна,Жашылдар Партиясы,39.0,True
100,Исакова Эльвира Болотбековна,Жашылдар Партиясы,17.0,True
101,Кадырбеков Нуржигит Кадырбекович,Ыйман Нуру,1.0,True
102,Ырыс уулу Медербек,Социал-демократтар,46.0,True
103,Артыков Анвар,Социал-демократтар,18.0,True
104,Курбанов Талайбек Сулайманович,Социал-демократтар,29.0,True
105,Ремнёв Роман Павлович,Жашылдар Партиясы,7.0,True
106,Исмаилов Фархат Даткабаевич,Ата-Журт Кыргызстан,21.0,True
107,Талиева Камила Абдыразаковна,Ата-Журт Кыргызстан,12.0,True
108,Калпаев Бактыяр Алиевич,Ата-Журт Кыргызстан,22.0,True
109,Саякбаев Рустам Темирбекович,Ата-Журт Кыргызстан,23.0,True
110,Атамбаев Кадырбек Алмазбекович,Социал-демократтар,1.0,True
111,Камаева Айчүрөк Үсөнбековна,Социал-демократтар,12.0,True
112,Босивская Кристина Валерьевна,Ата-Журт Кыргызстан,24.0,True
113,Умарова Мохидил Холматовна,Ата-Журт Кыргызстан,25.0,True
114,Торобаев Бакыт Эргешевич,Ата-Журт Кыргызстан,2.0,True
115,Масабиров Талайбек Айтмаматович,Ата-Журт Кыргызстан,11.0,True
116,Нарбаев Каныбек Джайчиевич,Ата-Журт Кыргызстан,13.0,True
117,Михайлов Олег Павлович,Жашылдар Партиясы,11.0,True
118,Усенов Жарашбек Джапакович,Жашылдар Партиясы,24.0,True
119,Зулпуев Саидбек Мейраждинович,Ата-Журт Кыргызстан,26.0,True
120,Исманов Самат Жекшеналиевич,Ата-Журт Кыргызстан,27.0,True
121,Сабиров Равшанбек Азатович,Ата-Журт Кыргызстан,3.0,True
122,Джаманбаева Джамиля Акматбековна,Ата-Журт Кыргызстан,28.0,True
123,Эркебаев Шүкурбек Мамазакирович,Ата-Журт Кыргызстан,29.0,True
124,Сулайманов Эльдар Нурланович,Ата-Журт Кыргызстан,30.0,True
125,Сооронкулова Клара Сыргакбековна,Ата-Мекен,2.0,True
126,Тулендыбаев Пархат Розымович,Ата-Журт Кыргызстан,14.0,True
127,Токтогазиев Тилек Мурсалиевич,Ата-Мекен,4.0,True
128,Турдалиева Чынар Алымкуловна,Ата-Мекен,16.0,False
129,Никитенко Наталья Владимировна,Ата-Мекен,5.0,True
130,Аскаров Эрлан Алсеитович,Ата-Мекен,7.0,True
131,Исаева Джамиля Кубанычбековна,Ата-Журт Кыргызстан,4.0,True
132,Нурбаев Эркинбек Русланович,Ата-Мекен,9.0,True
133,Мустапакулов Алмазбек Пайгамбаркулович,Ата-Мекен,10.0,True
134,Асанов Бектур Жантөрөевич,Ата-Мекен,11.0,True
135,Бекчоро уулу Эрлан,Ата-Мекен,13.0,True
136,Ким Ин Сен,Ата-Мекен,15.0,True
137,Долдоев Таалайбек Анарбаевич,Ата-Мекен,18.0,True
138,Эгембердиев Кубанычбек Мырзамамытович,Ата-Мекен,21.0,True
139,Шаршеналиев Мирлан Молдоисаевич,Ата-Мекен,27.0,True
140,Орумбеков Эрик Колбаевич,Ата-Мекен,30.0,True
141,Турдубаев Айбек Мамаевич,Ата-Мекен,31.0,True
142,Кыргызалиев Бакытбек Насерединович,Ата-Мекен,34.0,True
143,Конокбаев Нурдин Бактыгулович,Ата-Мекен,35.0,True
144,Дюшеева Аэлита Кубанычовна,Ата-Мекен,36.0,True
145,Иванова Валентина Петровна,Ата-Мекен,41.0,True
